num_fog_nodes,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
5.000000,0.334491,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
10.000000,0.167955,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
15.000000,0.112383,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
20.000000,0.086639,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
25.000000,0.082336,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
30.000000,0.059988,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
35.000000,0.048947,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
40.000000,0.050092,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
45.000000,0.037700,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
50.000000,0.034153,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
