failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
0.020000,0.096476,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
0.040000,0.095700,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
0.060000,0.095616,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
0.080000,0.096682,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
0.100000,0.095798,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
0.120000,0.113847,0.399021,0.820000,0.170000,32.812500,0.820000,0.654158,1.700000
0.140000,0.113604,0.399021,0.820000,0.170000,32.812500,0.820000,0.654158,1.700000
0.160000,0.113557,0.399021,0.820000,0.170000,32.812500,0.820000,0.654158,1.700000
0.180000,0.113667,0.399021,0.820000,0.170000,32.812500,0.820000,0.654158,1.700000
0.200000,0.113576,0.399021,0.820000,0.170000,32.812500,0.820000,0.654158,1.700000
0.250000,0.114911,0.369682,0.730000,0.200000,37.500000,0.730000,0.583252,2.000000
0.300000,0.114887,0.369682,0.730000,0.200000,37.500000,0.730000,0.583252,2.000000
0.350000,0.116892,0.382971,0.640000,0.230000,45.281250,0.640000,0.507163,2.300000
