variable_value,primary_metric,secondary_metric_1,secondary_metric_2
500,405.5541,,
1000,770.5012,,
1500,1151.9623,,
2000,1512.2773,,
2500,1875.1651,,
3000,2250.9817,,
3500,2618.1246,,
4000,3030.3223,,
4500,3404.7659,,
5000,3782.9634,,
