variable_value,primary_metric,secondary_metric_1,secondary_metric_2
500,3.966252,0.000000,0.000000
1000,4.168080,0.000000,0.000000
1500,4.246647,0.000000,0.000000
2000,4.194488,0.000000,0.000000
2500,4.287756,0.000000,0.000000
3000,4.290742,0.000000,0.000000
3500,4.273001,0.000000,0.000000
4000,4.282081,0.000000,0.000000
4500,4.261844,0.000000,0.000000
5000,4.263700,0.000000,0.000000
