num_fog_nodes,scheduling_latency_ms,workload_imbalance
5,0.044520,0.100008
10,0.061652,0.050875
15,0.083699,0.052567
20,0.112534,0.046693
25,0.147970,0.046846
30,0.183941,0.040896
35,0.237202,0.039232
40,0.282285,0.036803
45,0.326115,0.036222
50,0.372718,0.033562
