micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,0.095622,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
2.000000,0.095342,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
3.000000,0.095594,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
4.000000,0.095798,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
5.000000,0.096622,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
6.000000,0.096035,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
7.000000,0.095827,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
8.000000,0.095977,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
9.000000,0.095886,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
10.000000,0.095670,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
12.000000,0.096323,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
14.000000,0.095987,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
16.000000,0.095728,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
18.000000,0.095905,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
20.000000,0.095709,0.334843,0.910000,0.090000,17.212500,0.910000,0.726961,0.900000
