epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,9.903754,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000601,0.001610,0.037975,9.778579,1.466787,1.093750,0.000000,0.000000
1,9.868464,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000475,0.002215,0.037975,9.743324,1.461499,1.093750,0.000000,0.000000
2,10.139175,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000522,0.001955,0.037975,10.014038,1.502106,1.093750,0.000000,0.000000
3,10.013796,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000474,0.002397,0.037975,9.888636,1.483295,1.093750,0.000000,0.000000
4,9.926891,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000906,0.002140,0.037975,9.801755,1.470263,1.093750,0.000000,0.000000
5,10.201158,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000591,0.002226,0.037975,10.076009,1.511401,1.093750,0.000000,0.000000
6,10.059516,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000561,0.002186,0.037975,9.934386,1.490158,1.093750,0.000000,0.000000
7,10.100028,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000502,0.001813,0.037975,9.974893,1.496234,1.093750,0.000000,0.000000
8,9.989947,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000542,0.002120,0.037975,9.864806,1.479721,1.093750,0.000000,0.000000
9,9.988561,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000531,0.002021,0.037975,9.863416,1.479512,1.093750,0.000000,0.000000
10,9.891154,0.000000,1.000000,0.000000,0.000000,1.000000,0.778571,0,0.000480,0.003020,0.037975,9.766025,1.464904,1.093750,0.000000,0.000000
