variable_value,primary_metric,secondary_metric_1,secondary_metric_2
5,5.0394,,
10,8.2632,,
15,11.1428,,
20,14.7786,,
25,18.6255,,
30,18.5325,,
35,21.8476,,
40,22.7357,,
45,28.8627,,
50,28.3502,,
