aflto_enabled,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
0.000000,26.516197,0.001977,0.877404,0.036990,0.850000,0.974500,0.806950,1.700000,3.959532,0.000000,0.000000
1.000000,26.286764,0.001425,0.962171,0.038021,1.010742,1.000000,0.806950,2.950000,3.925110,0.000000,0.000000
