variable_value,primary_metric,secondary_metric_1,secondary_metric_2
1,32.141030,0.000000,0.000000
2,64.282060,0.000000,0.000000
3,96.423090,0.000000,0.000000
4,128.564120,0.000000,0.000000
5,160.705150,0.000000,0.000000
6,192.846180,0.000000,0.000000
7,224.987210,0.000000,0.000000
8,257.128240,0.000000,0.000000
9,289.269270,0.000000,0.000000
10,321.410300,0.000000,0.000000
