aflto_enabled,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
0.000000,11.944033,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
1.000000,11.900522,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
