variable_value,primary_metric,secondary_metric_1,secondary_metric_2
1,778.1433,0.0500,
2,1540.5587,0.1000,
3,2317.9328,0.1500,
5,3828.3162,0.2500,
8,6101.8552,0.4000,
10,7638.7719,0.5000,
15,11456.6710,0.7500,
20,15273.0979,1.0000,
