variant,num_sensors,aggregation_latency_ms,processing_overhead_ms,loss_exposure_fraction
flat_epoch,500.000000,4.726961,4.726749,0.000000
flat_epoch,1000.000000,9.292680,9.292450,0.000000
flat_epoch,1500.000000,14.081945,14.081654,0.000000
flat_epoch,2000.000000,18.590187,18.589901,0.000000
flat_epoch,2500.000000,23.323583,23.323304,0.000000
flat_epoch,3000.000000,28.003410,28.003018,0.000000
flat_epoch,3500.000000,32.626461,32.626167,0.000000
flat_epoch,4000.000000,37.305207,37.304927,0.000000
flat_epoch,4500.000000,42.658873,42.658498,0.000000
flat_epoch,5000.000000,46.876544,46.876227,0.000000
fixed_slot,500.000000,4.583488,4.583260,0.000000
fixed_slot,1000.000000,9.235015,9.234748,0.000000
fixed_slot,1500.000000,13.841439,13.841132,0.000000
fixed_slot,2000.000000,18.990906,18.990463,0.000000
fixed_slot,2500.000000,23.167483,23.167123,0.000000
fixed_slot,3000.000000,27.667545,27.667275,0.000000
fixed_slot,3500.000000,32.395382,32.395046,0.000000
fixed_slot,4000.000000,36.952569,36.952239,0.000000
fixed_slot,4500.000000,41.618376,41.618064,0.000000
fixed_slot,5000.000000,49.084374,49.083993,0.000000
adaptive_slot,500.000000,4.716670,4.716477,0.000000
adaptive_slot,1000.000000,9.417781,9.417502,0.000000
adaptive_slot,1500.000000,14.064379,14.064066,0.000000
adaptive_slot,2000.000000,18.662118,18.661796,0.000000
adaptive_slot,2500.000000,23.946857,23.946504,0.000000
adaptive_slot,3000.000000,28.142212,28.141851,0.000000
adaptive_slot,3500.000000,32.671428,32.671076,0.000000
adaptive_slot,4000.000000,37.371319,37.370971,0.000000
adaptive_slot,4500.000000,42.124644,42.124288,0.000000
adaptive_slot,5000.000000,46.961486,46.961115,0.000000
full_plosha,500.000000,4.669525,4.669196,0.000000
full_plosha,1000.000000,9.377807,9.377377,0.000000
full_plosha,1500.000000,14.066048,14.065513,0.000000
full_plosha,2000.000000,18.741793,18.741264,0.000000
full_plosha,2500.000000,23.476346,23.475784,0.000000
full_plosha,3000.000000,30.709753,30.709153,0.000000
full_plosha,3500.000000,32.632000,32.631451,0.000000
full_plosha,4000.000000,37.379008,37.378509,0.000000
full_plosha,4500.000000,42.098110,42.097519,0.000000
full_plosha,5000.000000,46.748562,46.747959,0.000000
