variable_value,primary_metric,secondary_metric_1,secondary_metric_2
2.0,1.4330,1.0000,1.0000
4.0,1.2389,1.0000,1.0000
6.0,1.4040,1.0000,1.0000
8.0,1.2655,1.0000,1.0000
10.0,1.4499,1.0000,1.0000
12.0,1.1958,1.0000,1.0000
14.0,1.3187,1.0000,1.0000
16.0,1.1739,1.0000,1.0000
18.0,1.3040,1.0000,1.0000
20.0,1.1729,1.0000,1.0000
