num_fog_nodes,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
5.000000,48.056881,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
10.000000,23.054890,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
15.000000,15.518929,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
20.000000,11.588834,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
25.000000,9.251976,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
30.000000,7.704980,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
35.000000,6.569564,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
40.000000,5.759202,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
45.000000,5.114732,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
50.000000,4.604338,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
