variable_value,primary_metric,secondary_metric_1,secondary_metric_2
1,0.497745,,
2,0.247645,,
3,0.125087,,
4,0.063552,,
5,0.033479,,
6,0.018421,,
7,0.009565,,
8,0.003874,,
9,0.002739,,
10,0.001429,,
12,0.000476,,
14,0.000000,,
16,0.000000,,
18,0.000000,,
20,0.000000,,
