variable_value,primary_metric,secondary_metric_1,secondary_metric_2
0.02,5.527902,1.000000,0.979900
0.04,6.016956,1.000000,0.960100
0.06,6.661987,1.000000,0.939800
0.08,7.170335,1.000000,0.919900
0.10,7.765617,1.000000,0.897300
0.12,8.307854,1.000000,0.879900
0.14,8.700655,1.000000,0.863500
0.16,8.869393,1.000000,0.844500
0.18,8.859202,1.000000,0.819900
0.20,8.711885,1.000000,0.799200
