epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.353541,0.002458,0.872785,0.240000,44.000000,1.000000,0.120000,20,0.000253,0.000770,0.100087,1.351063,0.202659,0.000000,0.029827,0.000000
1,5.355806,0.004549,0.932975,0.045000,79.499023,1.000000,0.513500,18,0.000261,0.000614,0.021135,5.351655,0.802748,0.000000,0.005528,0.000000
2,4.479571,0.002956,0.884565,0.165000,51.499023,1.000000,0.291500,18,0.000363,0.001006,0.093255,4.476890,0.671533,0.000000,0.018484,0.000000
3,0.435745,0.001462,0.845475,0.285000,28.500000,1.000000,0.030000,20,0.000147,0.001054,0.217945,0.434273,0.065141,0.000000,0.028841,0.000000
4,0.741369,0.001881,0.861297,0.270000,37.000000,1.000000,0.059500,20,0.000145,0.000596,0.150053,0.739468,0.110920,0.000000,0.027448,0.000000
5,4.453315,0.003966,0.919146,0.090000,74.000000,1.000000,0.409500,19,0.000360,0.000575,0.032868,4.449490,0.667424,0.000000,0.010912,0.000000
6,7.454291,0.004851,0.914507,0.015000,71.500000,1.000000,0.576000,15,0.000431,0.000744,0.048892,7.450579,1.117587,0.000000,0.001733,0.000000
7,1.687747,0.002140,0.861804,0.225000,37.499023,1.000000,0.150000,18,0.000218,0.000719,0.086788,1.685806,0.252871,0.000000,0.023794,0.000000
8,2.261995,0.002585,0.871872,0.195000,44.498047,1.000000,0.205500,18,0.000279,0.000732,0.068259,2.259643,0.338946,0.000000,0.021723,0.000000
9,3.101108,0.002972,0.880290,0.150000,50.338867,1.000000,0.288500,18,0.000262,0.000622,0.050407,3.098401,0.464760,0.000000,0.017302,0.000000
10,7.466306,0.003539,0.893751,0.015000,58.538086,1.000000,0.590500,18,0.000435,0.000889,0.047466,7.463004,1.119451,0.000000,0.001746,0.000000
