epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.286373,0.000791,0.860455,0.775000,15.500000,1.000000,0.133000,36,0.000515,0.001524,0.046549,1.285646,0.192847,0.000000,0.026747,0.000000
1,6.722844,0.000843,0.923372,0.056250,12.000000,1.000000,0.502750,34,0.000662,0.001497,0.042085,6.722095,1.008314,0.000000,0.014747,0.000000
2,0.151082,0.001507,0.843685,0.339167,61.000000,1.000000,0.011500,40,0.000140,0.002170,0.156125,0.149566,0.022435,0.000000,0.060156,0.000000
3,5.742595,0.001178,0.914579,0.093703,20.500000,1.000000,0.395500,37,0.000544,0.001540,0.051314,5.741479,0.861222,0.000000,0.025225,0.000000
4,3.735170,0.001146,0.901876,0.125315,26.500000,1.000000,0.362250,35,0.000536,0.001408,0.019476,3.734143,0.560121,0.000000,0.031397,0.000000
5,5.003137,0.000794,0.917635,0.055119,11.500000,1.000000,0.476000,34,0.000505,0.001391,0.011586,5.002431,0.750365,0.000000,0.014827,0.000000
6,1.799850,0.001263,0.866381,0.225252,38.000000,1.000000,0.172000,36,0.000431,0.001387,0.038353,1.798696,0.269804,0.000000,0.042929,0.000000
7,3.723802,0.001054,0.893466,0.124494,22.499023,1.000000,0.355750,34,0.000546,0.001367,0.019451,3.722880,0.558432,0.000000,0.027781,0.000000
8,7.315480,0.000760,0.880431,0.023661,4.824219,1.000000,0.559250,26,0.000560,0.001491,0.037307,7.314952,1.097243,0.000000,0.005585,0.000000
9,2.824715,0.001158,0.880159,0.169554,28.163086,1.000000,0.275250,35,0.000460,0.001421,0.026444,2.823681,0.423552,0.000000,0.034214,0.000000
10,7.358575,0.000768,0.897457,0.018750,5.929688,1.000000,0.566500,31,0.000609,0.001426,0.038020,7.357945,1.103692,0.000000,0.004217,0.000000
11,4.552282,0.001145,0.883588,0.072679,13.824219,1.000000,0.451500,22,0.000525,0.001408,0.013535,4.551622,0.682743,0.000000,0.017073,0.000000
12,5.242688,0.001199,0.897671,0.125749,18.832031,1.000000,0.349250,26,0.000535,0.001362,0.055918,5.241884,0.786283,0.000000,0.025330,0.000000
13,6.714495,0.001055,0.895264,0.055000,12.914062,1.000000,0.495250,31,0.000660,0.001437,0.042874,6.713644,1.007047,0.000000,0.009657,0.000000
14,3.650288,0.001144,0.887441,0.124469,20.100586,1.000000,0.361250,29,0.000515,0.001462,0.019439,3.649434,0.547415,0.000000,0.024693,0.000000
15,2.973548,0.001099,0.896027,0.177054,25.484375,1.000000,0.284000,33,0.000536,0.001418,0.025050,2.972620,0.445893,0.000000,0.029558,0.000000
16,2.410778,0.001315,0.906369,0.209720,33.652344,1.000000,0.233000,32,0.000483,0.001430,0.030735,2.409706,0.361456,0.000000,0.037851,0.000000
17,6.050242,0.001205,0.931699,0.100121,22.847656,1.000000,0.428500,30,0.000612,0.001419,0.047973,6.049310,0.907397,0.000000,0.018985,0.000000
18,7.012706,0.001124,1.020308,0.033902,9.683594,1.000000,0.526250,20,0.000460,0.001439,0.040343,7.012110,1.051816,0.000000,0.008185,0.000000
