epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.159913,0.000831,0.861385,0.800000,11.500000,1.000000,0.120400,23,0.000306,0.000994,0.080184,1.159134,0.173870,0.000000,0.016548,0.000000
1,5.547680,0.000893,0.914004,0.320000,11.500000,1.000000,0.410000,23,0.000363,0.000785,0.064837,5.450028,0.817504,0.000000,0.006704,0.000000
2,6.196028,0.000934,0.924318,0.240000,11.500000,1.000000,0.464800,23,0.000393,0.000814,0.056877,6.101134,0.915170,0.000000,0.005442,0.000000
3,0.233726,0.000605,0.845873,0.960000,12.000000,1.000000,0.023600,25,0.000143,0.000834,0.195959,0.233111,0.034967,0.000000,0.014953,0.000000
4,6.687791,0.000996,0.921430,0.120000,10.500000,1.000000,0.529200,21,0.000562,0.000796,0.049378,6.593915,0.989087,0.000000,0.002772,0.000000
5,2.308631,0.000785,0.879803,0.600000,11.500000,1.000000,0.229600,23,0.000337,0.000885,0.049171,2.307887,0.346183,0.000000,0.011074,0.000000
6,4.217805,0.000789,0.893874,0.560000,12.000000,1.000000,0.274800,24,0.000387,0.000820,0.085628,4.125625,0.618844,0.000000,0.010082,0.000000
7,6.210791,0.000903,0.888572,0.240000,9.000000,1.000000,0.464000,18,0.000420,0.000839,0.057736,6.114307,0.917146,0.000000,0.005026,0.000000
8,7.194299,0.001101,0.903518,0.040000,12.484375,1.000000,0.569200,22,0.000411,0.000818,0.046630,7.097290,1.064594,0.000000,0.000962,0.000000
9,7.351100,0.001092,0.914189,0.000000,10.156250,1.000000,0.599200,18,0.000418,0.000828,0.041925,7.259472,1.088921,0.000000,0.000000,0.000000
10,6.875839,0.000973,0.891390,0.120000,6.847656,1.000000,0.544400,15,0.000380,0.000769,0.049585,6.778817,1.016823,0.000000,0.003032,0.000000
11,6.322705,0.000882,0.895518,0.200000,7.785156,1.000000,0.489200,17,0.000313,0.000828,0.055515,6.224871,0.933731,0.000000,0.004263,0.000000
12,0.465352,0.000628,0.850864,0.920000,11.500000,1.000000,0.048000,23,0.000204,0.000840,0.135647,0.464764,0.069715,0.000000,0.014343,0.000000
13,4.292472,0.000737,0.882902,0.560000,10.066406,1.000000,0.276400,22,0.000435,0.000715,0.086931,4.196999,0.629550,0.000000,0.010642,0.000000
14,4.767645,0.000806,0.911539,0.480000,9.554688,1.000000,0.325600,20,0.000379,0.000853,0.077849,4.670975,0.700646,0.000000,0.009365,0.000000
15,2.584716,0.000803,0.876656,0.560000,11.968750,1.000000,0.258400,24,0.000376,0.000780,0.045232,2.583921,0.387588,0.000000,0.011860,0.000000
16,7.305964,0.000913,1.011333,0.040000,6.112305,1.000000,0.579200,14,0.000326,0.000857,0.045336,7.210812,1.081622,0.000000,0.000873,0.000000
17,6.308027,0.001036,1.006322,0.200000,6.000000,1.000000,0.478000,12,0.000390,0.000830,0.055167,6.213493,0.932024,0.000000,0.004971,0.000000
18,5.130491,0.000970,0.970278,0.400000,8.957031,1.000000,0.362400,15,0.000405,0.000846,0.070695,5.035480,0.755322,0.000000,0.009396,0.000000
19,6.961685,0.001246,1.007626,0.080000,8.980469,1.000000,0.553200,13,0.000395,0.000828,0.047309,6.867389,1.030108,0.000000,0.002486,0.000000
20,5.989647,0.001223,0.990125,0.240000,11.914062,1.000000,0.465200,15,0.000314,0.001062,0.055733,5.897476,0.884621,0.000000,0.006324,0.000000
21,3.139395,0.000924,0.915590,0.440000,14.597656,1.000000,0.326000,21,0.000328,0.000906,0.035551,3.138594,0.470789,0.000000,0.008895,0.000000
22,5.466299,0.000934,0.964194,0.360000,12.308594,1.000000,0.397600,18,0.000339,0.000774,0.064058,5.374994,0.806249,0.000000,0.007396,0.000000
23,0.250970,0.000627,0.817657,0.960000,19.519531,1.000000,0.025600,25,0.000157,0.000804,0.195959,0.250334,0.037550,0.000000,0.015565,0.000000
24,6.120006,0.001098,0.978364,0.240000,15.636719,1.000000,0.463600,17,0.000409,0.000749,0.058110,6.022626,0.903394,0.000000,0.006266,0.000000
25,4.567507,0.001048,0.923396,0.520000,19.593750,1.000000,0.298800,20,0.000363,0.000817,0.081694,4.473043,0.670957,0.000000,0.013901,0.000000
26,6.203173,0.001445,0.962180,0.240000,34.347656,1.000000,0.465600,18,0.000459,0.000782,0.057484,6.106498,0.915975,0.000000,0.006294,0.000000
27,6.311215,0.001530,0.932717,0.200000,44.730469,1.000000,0.477600,21,0.000466,0.000836,0.055213,6.215895,0.932384,0.000000,0.007521,0.000000
28,5.245037,0.001634,0.894277,0.400000,56.371094,1.000000,0.371200,23,0.000305,0.000838,0.070601,5.146703,0.772005,0.000000,0.020331,0.000000
29,4.453661,0.001770,0.888654,0.520000,58.996094,1.000000,0.302000,23,0.000393,0.000860,0.080333,4.360208,0.654031,0.000000,0.018918,0.000000
30,3.361465,0.000883,0.898482,0.400000,11.000000,1.000000,0.347200,22,0.000430,0.000884,0.032898,3.360660,0.504099,0.000000,0.008475,0.000000
31,0.225548,0.000563,0.845744,0.960000,12.000000,1.000000,0.023200,25,0.000135,0.000820,0.195959,0.224976,0.033746,0.000000,0.013955,0.000000
32,3.087303,0.000842,0.884212,0.480000,10.500000,1.000000,0.309600,21,0.000362,0.000728,0.038590,3.086572,0.462986,0.000000,0.009482,0.000000
33,5.770231,0.000921,0.909699,0.280000,11.000000,1.000000,0.432400,22,0.000361,0.000811,0.059581,5.677789,0.851668,0.000000,0.005897,0.000000
34,2.788873,0.000825,0.876099,0.520000,10.000000,1.000000,0.285600,20,0.000298,0.000830,0.041912,2.788189,0.418228,0.000000,0.010066,0.000000
35,3.790951,0.000887,0.885532,0.360000,9.500000,1.000000,0.378000,19,0.000346,0.000796,0.030234,3.790249,0.568537,0.000000,0.007541,0.000000
36,2.340973,0.000778,0.872744,0.600000,10.500000,1.000000,0.238400,21,0.000259,0.000856,0.049277,2.340299,0.351045,0.000000,0.010915,0.000000
37,6.213643,0.000936,0.898814,0.240000,9.835938,1.000000,0.468000,20,0.000348,0.000773,0.056338,6.119461,0.917919,0.000000,0.005091,0.000000
38,4.729147,0.000843,0.880608,0.480000,10.335938,1.000000,0.325200,21,0.000410,0.000815,0.076430,4.635611,0.695342,0.000000,0.009458,0.000000
39,4.515239,0.000912,0.900424,0.200000,10.507812,1.000000,0.459200,22,0.000411,0.000826,0.020452,4.514401,0.677160,0.000000,0.004833,0.000000
40,7.040129,0.000945,0.919991,0.040000,8.671875,1.000000,0.570800,18,0.000346,0.000860,0.044391,6.948610,1.042292,0.000000,0.000870,0.000000
41,3.053415,0.000811,0.860426,0.480000,9.351562,1.000000,0.315600,20,0.000338,0.000833,0.038515,3.052741,0.457911,0.000000,0.009924,0.000000
42,0.247015,0.000605,0.854730,0.960000,12.000000,1.000000,0.024400,24,0.000140,0.000803,0.195959,0.246424,0.036964,0.000000,0.014485,0.000000
43,7.004730,0.000844,0.911364,0.080000,7.953125,1.000000,0.560000,19,0.000437,0.000778,0.046050,6.912248,1.036837,0.000000,0.001867,0.000000
44,6.695458,0.000865,0.909925,0.120000,7.238281,1.000000,0.532000,17,0.000401,0.000848,0.048919,6.602433,0.990365,0.000000,0.002794,0.000000
45,7.497421,0.001340,0.969915,0.040000,6.863281,1.000000,0.586800,11,0.000371,0.000830,0.045371,7.400791,1.110119,0.000000,0.001297,0.000000
46,6.702182,0.001147,0.969173,0.160000,8.539062,1.000000,0.513200,15,0.000381,0.000863,0.052759,6.604656,0.990698,0.000000,0.003776,0.000000
47,0.224118,0.000609,0.834983,0.960000,12.570312,1.000000,0.022400,25,0.000137,0.000875,0.195959,0.223501,0.033525,0.000000,0.014900,0.000000
48,6.008464,0.001057,0.961201,0.240000,10.589844,1.000000,0.461200,18,0.000375,0.000755,0.055321,5.918069,0.887710,0.000000,0.006685,0.000000
49,6.426450,0.000967,0.987622,0.160000,7.506836,1.000000,0.500400,16,0.000356,0.000841,0.051827,6.333795,0.950069,0.000000,0.003642,0.000000
50,6.419135,0.001021,1.008086,0.200000,7.769531,1.000000,0.500800,15,0.000375,0.000803,0.053653,6.323284,0.948493,0.000000,0.005291,0.000000
51,6.400265,0.001083,0.987299,0.160000,8.714844,1.000000,0.505200,15,0.000384,0.000836,0.051769,6.306777,0.946017,0.000000,0.004250,0.000000
52,6.609415,0.001045,1.005017,0.160000,10.066406,1.000000,0.500800,17,0.000354,0.000866,0.053668,6.512267,0.976840,0.000000,0.003762,0.000000
53,5.768964,0.001037,0.955210,0.280000,13.308594,1.000000,0.442400,19,0.000355,0.000816,0.056526,5.681142,0.852171,0.000000,0.006572,0.000000
54,0.935918,0.000732,0.877751,0.840000,18.898438,1.000000,0.094800,24,0.000211,0.000855,0.091810,0.935203,0.140280,0.000000,0.015184,0.000000
55,7.641286,0.001106,1.004426,0.000000,15.125000,1.000000,0.608800,17,0.000370,0.000784,0.041542,7.549091,1.132364,0.000000,0.000000,0.000000
56,5.991786,0.001199,0.965480,0.280000,19.089844,1.000000,0.445600,19,0.000445,0.000845,0.060165,5.894842,0.884226,0.000000,0.010217,0.000000
57,6.416952,0.001258,0.963247,0.200000,24.347656,1.000000,0.494400,20,0.000382,0.000829,0.052673,6.324309,0.948646,0.000000,0.007202,0.000000
58,5.107327,0.001177,0.891406,0.400000,35.277344,1.000000,0.363200,24,0.000345,0.000863,0.070143,5.012768,0.751915,0.000000,0.009930,0.000000
59,5.714805,0.001259,0.923130,0.320000,37.921875,1.000000,0.425600,23,0.000405,0.000802,0.061985,5.619415,0.842912,0.000000,0.010369,0.000000
60,2.874335,0.000890,0.901026,0.480000,12.000000,1.000000,0.294800,24,0.000341,0.000907,0.038583,2.873457,0.431019,0.000000,0.010485,0.000000
61,6.705545,0.000983,0.922404,0.120000,10.500000,1.000000,0.529200,21,0.000583,0.000833,0.050960,6.607880,0.991182,0.000000,0.002817,0.000000
62,3.199484,0.000851,0.899789,0.440000,11.499023,1.000000,0.320400,23,0.000320,0.000868,0.035651,3.198672,0.479801,0.000000,0.008974,0.000000
63,0.467449,0.000623,0.859095,0.920000,12.500000,1.000000,0.047600,25,0.000178,0.000837,0.135652,0.466814,0.070022,0.000000,0.014109,0.000000
64,4.996852,0.000955,0.927942,0.120000,11.000000,1.000000,0.512000,22,0.000324,0.000779,0.014951,4.995974,0.749396,0.000000,0.002955,0.000000
65,1.892394,0.000745,0.867233,0.680000,11.000000,1.000000,0.189200,22,0.000309,0.000846,0.058519,1.891721,0.283758,0.000000,0.012176,0.000000
66,2.697322,0.000809,0.895095,0.520000,12.000000,1.000000,0.273600,24,0.000303,0.000832,0.041703,2.696522,0.404478,0.000000,0.009905,0.000000
67,3.673953,0.000750,0.860386,0.680000,10.835938,1.000000,0.210000,22,0.000316,0.000847,0.104201,3.577872,0.536681,0.000000,0.011927,0.000000
68,5.995527,0.000889,0.905289,0.240000,11.507812,1.000000,0.450400,24,0.000458,0.000856,0.059172,5.898638,0.884796,0.000000,0.004970,0.000000
69,0.239676,0.000601,0.854730,0.960000,12.000000,1.000000,0.024400,24,0.000131,0.000826,0.195959,0.239090,0.035864,0.000000,0.014354,0.000000
70,3.916807,0.000754,0.874728,0.600000,11.671875,1.000000,0.247200,24,0.000346,0.000751,0.092863,3.822660,0.573399,0.000000,0.010596,0.000000
71,5.225817,0.000762,0.871984,0.360000,11.011719,1.000000,0.388000,25,0.000368,0.000795,0.065270,5.134225,0.770134,0.000000,0.007059,0.000000
72,5.020870,0.000835,0.885532,0.440000,10.347656,1.000000,0.352000,22,0.000352,0.000838,0.070844,4.929707,0.739456,0.000000,0.009152,0.000000
73,4.888257,0.000816,0.914974,0.440000,10.167969,1.000000,0.347600,22,0.000355,0.000842,0.071177,4.797711,0.719657,0.000000,0.009155,0.000000
