epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.332341,0.001323,0.828387,0.800000,2.000000,1.000000,0.138000,5,0.000365,0.000381,0.400000,1.331001,0.199650,0.000000,0.006509,0.000000
1,6.071420,0.000817,0.879592,0.200000,1.500000,1.000000,0.628000,3,0.000177,0.000259,0.106722,6.070895,0.910634,0.000000,0.000685,0.000000
2,7.758408,0.000824,0.914228,0.000000,1.500000,1.000000,0.778000,3,0.000117,0.000247,0.025881,7.757876,1.163681,0.000000,0.000000,0.000000
3,1.498697,0.000620,0.837447,0.800000,2.000000,1.000000,0.148000,5,0.000107,0.000245,0.400000,1.498063,0.224709,0.000000,0.002979,0.000000
4,2.683982,0.000713,0.893301,0.600000,2.500000,1.000000,0.270000,5,0.000098,0.000211,0.245855,2.683249,0.402487,0.000000,0.002117,0.000000
5,4.869317,0.000746,0.890776,0.400000,2.000000,1.000000,0.482000,4,0.000111,0.000221,0.166646,4.868695,0.730304,0.000000,0.001370,0.000000
6,4.436576,0.000694,0.914603,0.400000,2.500000,1.000000,0.448000,5,0.000117,0.000223,0.166067,4.435856,0.665378,0.000000,0.001229,0.000000
7,6.039973,0.000812,0.898194,0.200000,2.398438,1.000000,0.606000,5,0.000145,0.000194,0.103897,6.039129,0.905869,0.000000,0.000718,0.000000
8,2.098242,0.000524,0.841600,0.800000,2.000000,1.000000,0.200000,5,0.000086,0.000235,0.400000,1.996700,0.299505,0.000000,0.002482,0.000000
9,7.380848,0.000775,0.905356,0.000000,2.222656,1.000000,0.754000,5,0.000124,0.000191,0.025640,7.380034,1.107005,0.000000,0.000000,0.000000
10,5.766871,0.000709,0.933877,0.200000,1.898438,1.000000,0.600000,4,0.000106,0.000232,0.105725,5.766272,0.864941,0.000000,0.000756,0.000000
11,5.883365,0.000688,0.882153,0.200000,2.019531,1.000000,0.604000,4,0.000148,0.000213,0.105807,5.882783,0.882417,0.000000,0.000678,0.000000
12,4.668781,0.000738,0.901538,0.400000,2.421875,1.000000,0.468000,5,0.000111,0.000192,0.168993,4.668016,0.700202,0.000000,0.001230,0.000000
13,2.778161,0.000739,0.890660,0.600000,1.999023,1.000000,0.286000,4,0.000128,0.000206,0.245198,2.777551,0.416633,0.000000,0.002141,0.000000
14,2.647765,0.000669,0.878644,0.600000,2.339844,1.000000,0.270000,5,0.000082,0.000191,0.245229,2.647076,0.397061,0.000000,0.002051,0.000000
15,1.399965,0.000581,0.782222,0.800000,2.000000,1.000000,0.138000,5,0.000083,0.000200,0.400000,1.399370,0.209905,0.000000,0.002792,0.000000
16,6.194054,0.000675,1.009762,0.200000,1.843750,1.000000,0.622000,4,0.000174,0.000194,0.103363,6.193482,0.929022,0.000000,0.000649,0.000000
17,5.475220,0.000829,0.943219,0.200000,2.000000,1.000000,0.550000,4,0.000122,0.000205,0.100116,5.474525,0.821179,0.000000,0.000969,0.000000
18,2.812921,0.000760,0.886525,0.600000,2.500000,1.000000,0.290000,5,0.000106,0.000205,0.245036,2.812141,0.421821,0.000000,0.002329,0.000000
19,4.391982,0.000813,0.986741,0.400000,2.558594,1.000000,0.446000,4,0.000123,0.000192,0.167826,4.391305,0.658696,0.000000,0.001740,0.000000
