epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.289823,0.001122,0.860455,0.775000,15.500000,1.000000,0.133000,36,0.000650,0.001630,0.046549,1.288798,0.193320,0.000000,0.038655,0.000000
1,6.485101,0.000622,0.923372,0.018750,3.000000,1.000000,0.502750,34,0.000614,0.001569,0.042085,6.484539,0.972681,0.000000,0.006576,18.000000
2,0.120375,0.000613,0.843685,0.118889,19.500000,1.000000,0.011500,40,0.000176,0.002631,0.156125,0.119753,0.017963,0.000000,0.024378,83.000000
3,5.526475,0.000662,0.914579,0.030193,6.500000,1.000000,0.395500,37,0.000580,0.001394,0.051314,5.525834,0.828875,0.000000,0.012527,28.000000
4,3.561200,0.000651,0.901876,0.037893,7.500000,1.000000,0.362250,35,0.000579,0.001935,0.019476,3.560603,0.534091,0.000000,0.014088,38.000000
5,4.786174,0.000595,0.917635,0.018810,3.500000,1.000000,0.476000,34,0.000532,0.002226,0.011586,4.785637,0.717846,0.000000,0.007622,16.000000
6,1.718006,0.000694,0.866381,0.088272,14.000000,1.000000,0.172000,36,0.000424,0.002173,0.038353,1.717363,0.257604,0.000000,0.022480,48.000000
7,3.561207,0.000658,0.893466,0.043423,7.500000,1.000000,0.355750,34,0.000604,0.001729,0.019451,3.560621,0.534093,0.000000,0.014495,30.000000
8,7.082382,0.000711,0.880431,0.010268,2.824219,1.000000,0.559250,26,0.000496,0.002155,0.037307,7.081885,1.062283,0.000000,0.003984,4.000000
9,2.716547,0.000732,0.880159,0.068562,11.164062,1.000000,0.275250,35,0.000480,0.001975,0.026444,2.715885,0.407383,0.000000,0.018667,34.000000
10,7.137951,0.000770,0.897457,0.006250,3.929688,1.000000,0.566500,31,0.000607,0.001991,0.038020,7.137310,1.070597,0.000000,0.002406,4.000000
11,4.387810,0.000852,0.883588,0.029325,5.824219,1.000000,0.451500,22,0.000459,0.002369,0.013535,4.387311,0.658097,0.000000,0.009610,16.000000
12,5.106240,0.000891,0.897671,0.056401,8.332031,1.000000,0.349250,26,0.000549,0.002289,0.055918,5.105635,0.765845,0.000000,0.015960,21.000000
13,6.531716,0.001016,0.895264,0.026111,9.414062,1.000000,0.495250,31,0.000631,0.001928,0.042874,6.530893,0.979634,0.000000,0.006460,7.000000
14,3.527366,0.000844,0.887441,0.055652,9.101562,1.000000,0.361250,29,0.000649,0.001950,0.019439,3.526728,0.529009,0.000000,0.014704,22.000000
15,2.862595,0.000734,0.896027,0.080089,11.484375,1.000000,0.284000,33,0.000521,0.001983,0.025050,2.861966,0.429295,0.000000,0.017228,28.000000
16,2.314625,0.000790,0.906369,0.086206,13.152344,1.000000,0.233000,32,0.000509,0.001877,0.030735,2.313973,0.347096,0.000000,0.019750,41.000000
17,5.872825,0.001075,0.931699,0.041084,14.846680,1.000000,0.428500,30,0.000680,0.002250,0.047973,5.871989,0.880798,0.000000,0.012951,19.000000
18,6.814708,0.001050,1.020308,0.011301,5.682617,1.000000,0.526250,20,0.000446,0.001914,0.040343,6.814146,1.022122,0.000000,0.004757,8.000000
19,3.934272,0.000957,0.934312,0.111848,19.784180,1.000000,0.238000,30,0.000591,0.001851,0.072743,3.933531,0.590030,0.000000,0.025697,33.000000
20,4.430623,0.000871,0.918463,0.078849,19.781250,1.000000,0.295000,34,0.000663,0.002077,0.062884,4.429859,0.664479,0.000000,0.022882,28.000000
21,1.666719,0.000937,0.887784,0.097670,36.152344,1.000000,0.170250,36,0.000427,0.002057,0.038406,1.665858,0.249879,0.000000,0.029657,49.000000
22,1.640192,0.000879,0.880636,0.093043,38.386719,1.000000,0.164250,38,0.000335,0.001696,0.040665,1.639341,0.245901,0.000000,0.028498,56.000000
23,3.270857,0.001071,0.904859,0.082189,47.651367,1.000000,0.167250,36,0.000403,0.001794,0.089276,3.269876,0.490481,0.000000,0.034661,66.000000
24,0.446992,0.001047,0.860382,0.100197,74.531250,1.000000,0.045250,39,0.000233,0.001811,0.087817,0.445961,0.066894,0.000000,0.039297,87.000000
25,3.993066,0.001188,0.902567,0.065885,63.863281,1.000000,0.232000,38,0.000438,0.001879,0.074705,3.991918,0.598788,0.000000,0.033468,61.000000
26,2.883598,0.001263,0.889735,0.056368,71.334961,1.000000,0.289500,40,0.000490,0.001980,0.025082,2.882311,0.432347,0.000000,0.031908,41.000000
27,3.929226,0.001862,0.913366,0.034602,108.558594,1.000000,0.393750,39,0.000501,0.001784,0.017426,3.927382,0.589107,0.000000,0.031398,36.000000
28,7.319376,0.002186,1.005882,0.004167,122.018555,1.000000,0.578500,33,0.000633,0.002181,0.036738,7.317533,1.097630,0.000000,0.001809,1.000000
29,1.802660,0.003127,0.873013,0.067799,196.225586,1.000000,0.183000,39,0.000455,0.001736,0.036108,1.799594,0.269939,0.000000,0.071953,85.000000
30,3.363722,0.000694,0.895101,0.400000,8.000000,1.000000,0.343250,34,0.000553,0.001927,0.020594,3.363106,0.504466,0.000000,0.015584,0.000000
31,5.429211,0.000621,0.918138,0.050521,6.500000,1.000000,0.397000,38,0.000560,0.002134,0.051083,5.428593,0.814289,0.000000,0.012280,33.000000
32,2.637490,0.000679,0.875770,0.073219,11.000000,1.000000,0.262500,34,0.000423,0.001927,0.027711,2.636891,0.395534,0.000000,0.018772,49.000000
33,5.759016,0.000642,0.914060,0.041311,6.000000,1.000000,0.416500,36,0.000618,0.001736,0.049779,5.758408,0.863761,0.000000,0.011582,19.000000
34,3.952051,0.000662,0.896844,0.037827,6.000000,1.000000,0.403000,32,0.000587,0.001948,0.016500,3.951493,0.592724,0.000000,0.012308,23.000000
35,6.851852,0.000591,0.930702,0.012946,2.000000,1.000000,0.524000,35,0.000603,0.002044,0.039396,6.851302,1.027695,0.000000,0.004417,7.000000
36,4.755456,0.000886,0.889456,0.066766,13.437500,1.000000,0.307750,37,0.000529,0.002100,0.063456,4.754613,0.713192,0.000000,0.017218,25.000000
37,6.592933,0.000863,0.898304,0.019444,6.488281,1.000000,0.504250,31,0.000568,0.002031,0.040796,6.592231,0.988835,0.000000,0.006415,11.000000
