epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,0.639483,0.000877,0.841190,0.900000,4.500000,1.000000,0.064000,10,0.000144,0.000491,0.300000,0.638594,0.095789,0.000000,0.008622,0.000000
1,7.591164,0.000919,0.907181,0.000000,3.000000,1.000000,0.682000,6,0.000295,0.000468,0.049350,7.495070,1.124261,0.000000,0.000000,0.000000
2,6.857705,0.000838,0.932415,0.100000,4.500000,1.000000,0.592000,9,0.000218,0.000435,0.063916,6.764414,1.014662,0.000000,0.000782,0.000000
3,0.624136,0.000553,0.840904,0.900000,4.500000,1.000000,0.063000,10,0.000109,0.000390,0.300000,0.623571,0.093536,0.000000,0.005452,0.000000
4,3.764631,0.000769,0.889056,0.400000,4.000000,1.000000,0.386000,8,0.000166,0.000339,0.081942,3.763990,0.564599,0.000000,0.002913,0.000000
5,1.861791,0.000724,0.883253,0.700000,5.000000,1.000000,0.184000,10,0.000140,0.000359,0.152778,1.861050,0.279157,0.000000,0.004868,0.000000
6,6.261474,0.000922,0.916209,0.200000,5.507812,1.000000,0.525000,10,0.000194,0.000328,0.081933,6.162018,0.924303,0.000000,0.001524,0.000000
7,7.501288,0.000839,0.917261,0.000000,3.859375,1.000000,0.662000,8,0.000202,0.000375,0.049314,7.408076,1.111211,0.000000,0.000000,0.000000
8,1.762576,0.000686,0.877362,0.700000,5.000000,1.000000,0.180000,10,0.000176,0.000429,0.152894,1.761874,0.264281,0.000000,0.004700,0.000000
9,7.441970,0.000827,0.883756,0.000000,4.675781,1.000000,0.660000,10,0.000245,0.000380,0.050791,7.347103,1.102066,0.000000,0.000000,0.000000
10,6.681325,0.000807,0.932164,0.100000,2.859375,1.000000,0.598000,6,0.000226,0.000426,0.061484,6.591307,0.988696,0.000000,0.000858,0.000000
11,1.170367,0.000678,0.859104,0.800000,3.999023,1.000000,0.120000,8,0.000138,0.000358,0.200866,1.169810,0.175472,0.000000,0.005334,0.000000
12,5.593854,0.000730,0.887511,0.300000,3.445312,1.000000,0.465000,8,0.000195,0.000317,0.094022,5.499241,0.824886,0.000000,0.002403,0.000000
13,6.219137,0.000853,1.003146,0.200000,2.792969,1.000000,0.534000,6,0.000190,0.000395,0.077601,6.125591,0.918839,0.000000,0.001538,0.000000
14,0.564206,0.000580,0.854552,0.900000,4.500000,1.000000,0.060000,10,0.000104,0.000372,0.300000,0.563615,0.084542,0.000000,0.005601,0.000000
15,3.166265,0.000807,0.958270,0.500000,3.500000,1.000000,0.315000,7,0.000167,0.000344,0.100030,3.165678,0.474852,0.000000,0.003860,0.000000
16,0.696000,0.000684,0.892273,0.900000,5.113281,1.000000,0.070000,9,0.000100,0.000342,0.300000,0.695374,0.104306,0.000000,0.006101,0.000000
17,4.903851,0.000905,0.954266,0.200000,3.906250,1.000000,0.493000,7,0.000203,0.000331,0.050426,4.903185,0.735478,0.000000,0.002137,0.000000
18,2.033045,0.000615,0.888750,0.900000,5.113281,1.000000,0.100000,10,0.000082,0.000404,0.300000,1.933418,0.290013,0.000000,0.006022,0.000000
19,3.091586,0.000777,0.952412,0.500000,4.496094,1.000000,0.315000,8,0.000171,0.000319,0.100412,3.090941,0.463641,0.000000,0.003889,0.000000
20,0.579589,0.000625,0.778100,0.900000,6.910156,1.000000,0.060000,10,0.000080,0.000345,0.300000,0.578954,0.086843,0.000000,0.006148,0.000000
21,4.452741,0.000871,0.892230,0.500000,8.355469,1.000000,0.360000,9,0.000148,0.000324,0.127511,4.356432,0.653465,0.000000,0.004598,0.000000
22,3.740693,0.000943,0.945101,0.400000,8.832031,1.000000,0.373000,9,0.000188,0.000378,0.081776,3.739819,0.560973,0.000000,0.004502,0.000000
23,4.287849,0.001172,0.862044,0.300000,15.550781,1.000000,0.436000,10,0.000186,0.000339,0.065864,4.286647,0.642997,0.000000,0.002527,0.000000
24,5.445956,0.001175,0.880147,0.300000,15.601562,1.000000,0.466000,10,0.000224,0.000339,0.092087,5.353748,0.803062,0.000000,0.005648,0.000000
25,3.699036,0.004864,0.862034,0.400000,52.554688,1.000000,0.366000,10,0.000154,0.000414,0.081787,3.694146,0.554122,0.000000,0.003995,0.000000
26,5.528889,0.017306,0.874920,0.300000,142.488281,1.000000,0.469000,10,0.000223,0.000352,0.090797,5.422051,0.813308,0.000000,0.014611,0.000000
27,5.110966,0.036600,0.866783,0.400000,288.515625,1.000000,0.403000,10,0.000172,0.000424,0.113624,4.975836,0.746375,0.000000,0.176426,0.000000
28,6.970226,0.111692,0.864277,0.100000,1159.390625,1.000000,0.595000,10,0.000235,0.000420,0.066343,6.761998,1.014300,0.000000,0.003820,0.000000
29,2.290852,0.416247,0.850065,0.700000,3104.835938,1.000000,0.190000,10,0.000155,0.000540,0.153012,1.874583,0.281187,0.000000,0.883001,0.000000
30,1.895241,0.000793,0.885241,0.700000,5.000000,1.000000,0.195000,10,0.000132,0.000438,0.152770,1.894431,0.284165,0.000000,0.005664,0.000000
31,5.368522,0.000780,0.924467,0.300000,5.000000,1.000000,0.448000,10,0.000197,0.000398,0.098736,5.270212,0.790532,0.000000,0.002053,0.000000
32,3.811046,0.000691,0.894256,0.600000,5.000000,1.000000,0.285000,10,0.000186,0.000386,0.153418,3.716833,0.557525,0.000000,0.003777,0.000000
33,4.984399,0.000847,0.873974,0.200000,3.000000,1.000000,0.507000,6,0.000203,0.000385,0.050480,4.983858,0.747579,0.000000,0.001719,0.000000
34,1.235404,0.000671,0.856434,0.800000,4.500000,1.000000,0.126000,9,0.000107,0.000384,0.200786,1.234786,0.185218,0.000000,0.005297,0.000000
35,3.753557,0.000711,0.894883,0.600000,5.000000,1.000000,0.291000,10,0.000168,0.000343,0.148128,3.665324,0.549799,0.000000,0.004052,0.000000
