epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
38,1.858255,0.000956,0.827200,0.247619,4.000000,1.000000,0.184000,5,0.000069,0.000214,0.400000,1.857285,0.278593,0.000000,0.004514,0.000000
39,3.481776,0.001214,0.860234,0.216667,5.019531,1.000000,0.334000,5,0.000072,0.000207,0.253553,3.480497,0.522075,0.000000,0.004674,0.000000
40,1.401617,0.001317,0.820426,0.276667,6.000000,1.000000,0.132000,5,0.000081,0.000187,0.400000,1.400269,0.210040,0.000000,0.006446,0.000000
41,5.430793,0.000861,0.879127,0.066667,2.226562,1.000000,0.534000,5,0.000142,0.000192,0.102805,5.429881,0.814482,0.000000,0.002226,0.000000
42,1.431225,0.001160,0.858947,0.238355,5.500000,1.000000,0.136000,5,0.000080,0.000206,0.400000,1.430023,0.214503,0.000000,0.005690,0.000000
43,3.080183,0.001523,0.939434,0.208333,5.000000,1.000000,0.296000,4,0.000118,0.000182,0.244986,3.078862,0.461829,0.000000,0.005699,0.000000
44,1.990009,0.001256,0.872000,0.275000,6.000000,1.000000,0.192000,5,0.000090,0.000246,0.400000,1.988722,0.298308,0.000000,0.006061,0.000000
45,4.942742,0.001207,0.894528,0.133333,6.597656,1.000000,0.472000,5,0.000106,0.000213,0.167153,4.941491,0.741224,0.000000,0.004585,0.000000
46,3.760331,0.001070,0.950298,0.193333,6.828125,1.000000,0.354000,4,0.000071,0.000215,0.248899,3.759405,0.563911,0.000000,0.004002,0.000000
47,2.793312,0.000841,0.874630,0.193333,6.328125,1.000000,0.266000,5,0.000088,0.000189,0.245237,2.792442,0.418866,0.000000,0.003798,0.000000
48,8.263871,0.000485,0.999501,0.000000,0.328125,1.000000,0.802000,4,0.000139,0.000192,0.027209,8.263327,1.239499,0.000000,0.000000,0.000000
49,1.352678,0.001212,0.715870,0.246886,8.917969,1.000000,0.132000,5,0.000165,0.000192,0.400000,1.351428,0.202714,0.000000,0.005954,0.000000
50,1.916463,0.001028,0.912500,0.228456,19.042969,1.000000,0.186000,5,0.000090,0.000333,0.400000,1.915422,0.287313,0.000000,0.005017,0.000000
51,4.720467,0.000686,0.863527,0.114286,9.687500,1.000000,0.464000,5,0.000107,0.000210,0.164892,4.719717,0.707958,0.000000,0.002569,0.000000
52,3.579278,0.002480,0.854379,0.166032,34.046875,1.000000,0.344000,5,0.000069,0.000192,0.248266,3.576763,0.536514,0.000000,0.004241,0.000000
53,2.899428,0.004049,0.859541,0.187632,47.730469,1.000000,0.272000,5,0.000117,0.000180,0.244993,2.895341,0.434301,0.000000,0.010026,0.000000
54,7.882892,0.009452,0.858337,0.000000,113.746094,1.000000,0.766000,5,0.000140,0.000199,0.027364,7.873335,1.181000,0.000000,0.000000,0.000000
55,8.109366,0.023001,0.857500,0.000000,269.933594,1.000000,0.768000,5,0.000110,0.000219,0.025162,8.086277,1.212942,0.000000,0.000000,0.000000
56,4.789446,0.084855,0.851149,0.120000,952.488281,1.000000,0.456000,5,0.000106,0.000437,0.171055,4.704564,0.705685,0.000000,0.121644,0.000000
57,3.508662,0.231657,0.850993,0.180000,2278.957031,1.000000,0.314000,5,0.000111,0.000412,0.247331,3.276963,0.491544,0.000000,0.526455,0.000000
58,6.341738,0.534121,0.850498,0.060000,5199.773438,1.000000,0.562000,5,0.000136,0.000356,0.100111,5.807577,0.871137,0.000000,0.556646,0.000000
59,9.454481,3.049787,0.850463,0.060000,13963.660156,1.000000,0.622000,5,0.000116,0.000424,0.104081,6.404643,0.960696,0.000000,2.496202,0.000000
60,1.240773,0.001047,0.817634,0.800000,2.000000,1.000000,0.128000,5,0.000135,0.000504,0.400000,1.239709,0.185956,0.000000,0.005001,0.000000
61,7.384721,0.000303,0.959919,0.000000,0.000000,1.000000,0.730000,5,0.000151,0.000249,0.018902,7.384381,1.107657,0.000000,0.000000,0.000000
62,3.295526,0.001106,0.893466,0.195000,4.500000,1.000000,0.320000,5,0.000099,0.000199,0.252982,3.294364,0.494155,0.000000,0.004818,0.000000
63,4.685900,0.001192,0.881820,0.133333,4.000000,1.000000,0.458000,4,0.000073,0.000198,0.167230,4.684841,0.702726,0.000000,0.004114,0.000000
64,1.443861,0.001319,0.822553,0.268681,6.000000,1.000000,0.134000,5,0.000097,0.000198,0.400000,1.442506,0.216376,0.000000,0.006397,0.000000
65,4.891620,0.001088,0.886893,0.116084,3.500000,1.000000,0.464000,4,0.000078,0.000194,0.164260,4.890687,0.733603,0.000000,0.003641,0.000000
66,7.715277,0.000330,0.962561,0.000000,0.000000,1.000000,0.748000,5,0.000127,0.000200,0.019162,7.714789,1.157218,0.000000,0.000000,0.000000
67,4.991298,0.001109,0.877109,0.126667,3.519531,1.000000,0.480000,5,0.000108,0.000279,0.169394,4.990104,0.748516,0.000000,0.003237,0.000000
68,5.981179,0.000780,0.861327,0.057143,1.792969,1.000000,0.582000,5,0.000159,0.000203,0.100103,5.980328,0.897049,0.000000,0.001560,0.000000
69,4.935777,0.001288,0.916239,0.133333,2.499023,1.000000,0.480000,3,0.000100,0.000196,0.169940,4.934938,0.740241,0.000000,0.002920,0.000000
70,6.466112,0.000697,0.947400,0.057143,1.000000,1.000000,0.636000,3,0.000100,0.000193,0.106584,6.465594,0.969839,0.000000,0.001241,0.000000
71,7.360053,0.000473,0.942273,0.000000,0.324219,1.000000,0.730000,4,0.000150,0.000198,0.031141,7.359575,1.103936,0.000000,0.000000,0.000000
72,5.742818,0.000668,0.917808,0.080000,1.386719,1.000000,0.552000,4,0.000134,0.000209,0.100654,5.742170,0.861325,0.000000,0.001498,0.000000
73,7.691488,0.000360,0.983043,0.000000,0.421875,1.000000,0.758000,4,0.000108,0.000198,0.027134,7.691100,1.153665,0.000000,0.000000,0.000000
74,5.798461,0.000745,0.982283,0.066667,1.000000,1.000000,0.582000,3,0.000144,0.000405,0.102804,5.797954,0.869693,0.000000,0.001418,0.000000
75,1.540239,0.001049,0.812143,0.281667,4.500000,1.000000,0.148000,5,0.000101,0.000586,0.400000,1.539175,0.230876,0.000000,0.004998,0.000000
76,2.852149,0.000933,0.876630,0.178355,5.636719,1.000000,0.280000,5,0.000106,0.000260,0.245615,2.851197,0.427680,0.000000,0.004390,0.000000
77,5.917619,0.000675,0.958134,0.075000,1.500000,1.000000,0.570000,4,0.000118,0.000255,0.100058,5.917021,0.887553,0.000000,0.001897,0.000000
78,2.738489,0.000982,0.865391,0.209545,7.136719,1.000000,0.264000,5,0.000098,0.000305,0.244996,2.737488,0.410623,0.000000,0.004657,0.000000
79,7.608142,0.000347,0.956061,0.000000,0.671875,1.000000,0.742000,5,0.000151,0.000208,0.027244,7.607736,1.141160,0.000000,0.000000,0.000000
80,4.769204,0.001231,1.054873,0.107879,9.269531,1.000000,0.474000,3,0.000149,0.000180,0.166666,4.768417,0.715263,0.000000,0.003108,0.000000
81,1.472132,0.001191,0.708916,0.245022,14.769531,1.000000,0.144000,5,0.000090,0.000228,0.400000,1.470916,0.220637,0.000000,0.005809,0.000000
82,6.226100,0.001137,0.993194,0.053333,9.632812,1.000000,0.596000,4,0.000144,0.000180,0.105127,6.225078,0.933762,0.000000,0.001760,0.000000
83,1.516134,0.001719,0.689206,0.238584,19.921875,1.000000,0.146000,5,0.000085,0.000183,0.400000,1.514392,0.227159,0.000000,0.008459,0.000000
84,5.833486,0.002071,0.875739,0.060000,24.113281,1.000000,0.572000,5,0.000141,0.000178,0.104648,5.831307,0.874696,0.000000,0.003497,0.000000
85,5.214840,0.002659,0.853566,0.122500,33.371094,1.000000,0.488000,5,0.000094,0.000195,0.170338,5.212132,0.781820,0.000000,0.004335,0.000000
86,6.293966,0.011316,0.852041,0.060000,129.917969,1.000000,0.606000,5,0.000178,0.000200,0.101971,6.282550,0.942382,0.000000,0.002467,0.000000
87,1.432385,0.014476,0.680428,0.240000,165.300781,1.000000,0.134000,5,0.000095,0.000212,0.400000,1.417856,0.212678,0.000000,0.072182,0.000000
88,1.621483,0.014483,0.680224,0.240000,165.300781,1.000000,0.156000,5,0.000044,0.000204,0.400000,1.606963,0.241045,0.000000,0.071918,0.000000
89,7.967171,0.059314,0.850799,0.000000,616.707031,1.000000,0.766000,5,0.000146,0.000184,0.027661,7.907778,1.186167,0.000000,0.000000,0.000000
90,7.234248,0.000336,0.961125,0.000000,0.000000,1.000000,0.742000,5,0.000155,0.000463,0.028187,7.233848,1.085077,0.000000,0.000000,0.000000
