epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
38,4.628336,0.000671,0.880608,0.064794,6.335938,1.000000,0.325200,21,0.000359,0.000910,0.076430,4.627750,0.694163,0.000000,0.010050,17.000000
39,4.501872,0.000606,0.900424,0.021708,3.507812,1.000000,0.459200,22,0.000466,0.001046,0.020452,4.501307,0.675196,0.000000,0.005125,11.000000
40,6.898829,0.000517,0.919991,0.005714,1.171875,1.000000,0.570800,18,0.000393,0.001246,0.044391,6.898421,1.034763,0.000000,0.000986,1.000000
41,3.034532,0.000757,0.860426,0.068677,7.351562,1.000000,0.315600,20,0.000350,0.001276,0.038515,3.033903,0.455085,0.000000,0.010603,17.000000
42,0.248600,0.000612,0.854730,0.137730,12.000000,1.000000,0.024400,24,0.000155,0.000797,0.195959,0.248003,0.037200,0.000000,0.014632,37.000000
43,6.870490,0.000609,0.911364,0.009444,3.453125,1.000000,0.560000,19,0.000475,0.000799,0.046050,6.869992,1.030499,0.000000,0.002034,4.000000
44,6.565430,0.000736,0.909925,0.019667,3.738281,1.000000,0.532000,17,0.000428,0.001345,0.048919,6.564896,0.984734,0.000000,0.003121,4.000000
45,7.390726,0.000992,0.969915,0.005000,3.863281,1.000000,0.586800,11,0.000393,0.001052,0.045371,7.390253,1.108538,0.000000,0.001185,2.000000
46,6.606588,0.000841,0.969173,0.029000,4.539062,1.000000,0.513200,15,0.000398,0.001434,0.052759,6.606049,0.990907,0.000000,0.003993,5.000000
47,0.226294,0.000638,0.834983,0.173968,15.070312,1.000000,0.022400,25,0.000119,0.001311,0.195959,0.225647,0.033847,0.000000,0.015687,32.000000
48,5.920115,0.000896,0.961201,0.027551,12.589844,1.000000,0.461200,18,0.000424,0.000712,0.055321,5.919438,0.887916,0.000000,0.007289,12.000000
49,6.334962,0.000593,0.987622,0.026667,2.507812,1.000000,0.500400,16,0.000355,0.000942,0.051827,6.334550,0.950182,0.000000,0.003731,5.000000
50,6.330189,0.000743,1.008086,0.031795,6.769531,1.000000,0.500800,15,0.000365,0.000982,0.053653,6.329711,0.949457,0.000000,0.005845,7.000000
51,6.313744,0.000841,0.987299,0.021939,10.714844,1.000000,0.505200,15,0.000400,0.000897,0.051769,6.313207,0.946981,0.000000,0.005172,6.000000
52,6.513932,0.000800,1.005017,0.028632,11.566406,1.000000,0.500800,17,0.000339,0.000777,0.053668,6.513355,0.977003,0.000000,0.003898,8.000000
53,5.687214,0.000832,0.955210,0.073333,17.308594,1.000000,0.442400,19,0.000344,0.001142,0.056526,5.686552,0.852983,0.000000,0.007243,7.000000
54,0.935311,0.000904,0.877751,0.129779,39.898438,1.000000,0.094800,24,0.000173,0.001006,0.091810,0.934429,0.140164,0.000000,0.020950,40.000000
55,7.545719,0.001003,1.004426,0.000000,29.125000,1.000000,0.608800,17,0.000345,0.000874,0.041542,7.545000,1.131750,0.000000,0.000000,0.000000
56,5.901665,0.001149,0.965480,0.031333,35.089844,1.000000,0.445600,19,0.000423,0.001219,0.060165,5.900762,0.885114,0.000000,0.013668,20.000000
57,6.329396,0.001305,0.963247,0.016190,46.847656,1.000000,0.494400,20,0.000392,0.001040,0.052673,6.328320,0.949248,0.000000,0.009705,17.000000
58,5.025416,0.001390,0.891406,0.055619,67.277344,1.000000,0.363200,24,0.000402,0.001060,0.070143,5.024056,0.753608,0.000000,0.013953,24.000000
59,5.648285,0.001946,0.923130,0.031429,74.920898,1.000000,0.425600,23,0.000440,0.000975,0.061985,5.622916,0.843437,0.000000,0.014337,25.000000
60,2.876457,0.000588,0.901026,0.480000,6.000000,1.000000,0.294800,24,0.000372,0.001129,0.038583,2.875867,0.431380,0.000000,0.010298,0.000000
61,6.621713,0.000518,0.922404,0.015000,1.500000,1.000000,0.529200,21,0.000442,0.000808,0.050960,6.621242,0.993186,0.000000,0.002982,9.000000
62,3.204314,0.000578,0.899789,0.059994,5.500000,1.000000,0.320400,23,0.000346,0.001020,0.035651,3.203758,0.480564,0.000000,0.009570,23.000000
63,0.472442,0.000597,0.859095,0.127963,11.500000,1.000000,0.047600,25,0.000197,0.000838,0.135652,0.471835,0.070775,0.000000,0.014573,40.000000
64,5.003426,0.000481,0.927942,0.010889,1.500000,1.000000,0.512000,22,0.000474,0.000779,0.014951,5.002968,0.750445,0.000000,0.003154,9.000000
65,1.899362,0.000651,0.867233,0.083460,8.500000,1.000000,0.189200,22,0.000330,0.000989,0.058519,1.898772,0.284816,0.000000,0.012977,32.000000
66,2.702343,0.000570,0.895095,0.058651,6.500000,1.000000,0.273600,24,0.000274,0.000885,0.041703,2.701774,0.405266,0.000000,0.010511,27.000000
67,3.592000,0.000695,0.860386,0.083476,8.835938,1.000000,0.210000,22,0.000318,0.000788,0.104201,3.591371,0.538706,0.000000,0.012564,30.000000
68,5.910027,0.000547,0.905289,0.032143,4.007812,1.000000,0.450400,24,0.000466,0.000814,0.059172,5.909472,0.886421,0.000000,0.005305,9.000000
69,0.244793,0.000625,0.854730,0.118851,12.000000,1.000000,0.024400,24,0.000120,0.001008,0.195959,0.244183,0.036628,0.000000,0.014926,45.000000
70,3.828766,0.000615,0.874728,0.070000,8.171875,1.000000,0.247200,24,0.000367,0.000778,0.092863,3.828155,0.574223,0.000000,0.011317,30.000000
71,5.144517,0.000653,0.871984,0.043889,7.011719,1.000000,0.388000,25,0.000372,0.000910,0.065270,5.143838,0.771576,0.000000,0.007441,17.000000
72,4.933533,0.000669,0.885532,0.057857,6.847656,1.000000,0.352000,22,0.000390,0.001218,0.070844,4.932919,0.739938,0.000000,0.009411,17.000000
73,4.796104,0.000650,0.914974,0.056763,6.667969,1.000000,0.347600,22,0.000343,0.001145,0.071177,4.795507,0.719326,0.000000,0.009038,16.000000
74,4.193433,0.000916,0.888953,0.079732,10.363281,1.000000,0.275200,21,0.000336,0.001217,0.087628,4.192643,0.628896,0.000000,0.010877,22.000000
75,5.452225,0.000759,0.918401,0.047872,8.265625,1.000000,0.398000,21,0.000390,0.001183,0.064643,5.451560,0.817734,0.000000,0.007207,16.000000
76,0.496737,0.000686,0.857044,0.127747,15.070312,1.000000,0.049200,25,0.000161,0.001083,0.135885,0.496041,0.074406,0.000000,0.016745,37.000000
77,4.962232,0.000616,0.954936,0.013016,3.515625,1.000000,0.499600,18,0.000414,0.000781,0.015032,4.961755,0.744263,0.000000,0.003098,6.000000
78,6.628233,0.000769,0.995025,0.020444,3.722656,1.000000,0.536800,16,0.000354,0.000822,0.046862,6.627706,0.994156,0.000000,0.002882,4.000000
79,2.731254,0.000857,0.934852,0.068462,14.089844,1.000000,0.278000,19,0.000350,0.001539,0.041704,2.730581,0.409587,0.000000,0.013925,23.000000
80,5.436304,0.000685,0.941468,0.055476,4.515625,1.000000,0.413600,20,0.000406,0.000956,0.062842,5.435728,0.815359,0.000000,0.007396,9.000000
81,5.620112,0.000944,0.952590,0.045381,12.957031,1.000000,0.431600,19,0.000482,0.001107,0.060819,5.619364,0.842905,0.000000,0.008422,11.000000
82,7.175359,0.000665,0.998235,0.006667,6.218750,1.000000,0.565200,18,0.000425,0.001146,0.047011,7.174843,1.076227,0.000000,0.001071,1.000000
83,1.373476,0.000918,0.879618,0.115379,28.835938,1.000000,0.140800,23,0.000308,0.001644,0.071247,1.372616,0.205892,0.000000,0.018037,37.000000
84,0.256487,0.000836,0.818820,0.113327,44.562500,1.000000,0.026000,25,0.000119,0.000770,0.195959,0.255642,0.038346,0.000000,0.020682,54.000000
85,6.777065,0.000808,0.975460,0.013380,18.652344,1.000000,0.524400,21,0.000520,0.000746,0.050377,6.776352,1.016453,0.000000,0.005195,6.000000
86,6.706371,0.001051,0.986716,0.021714,35.046875,1.000000,0.533200,20,0.000356,0.000902,0.048661,6.705498,1.005825,0.000000,0.002969,3.000000
87,1.371764,0.001249,0.874997,0.081267,70.128906,1.000000,0.138000,24,0.000281,0.000921,0.071260,1.370550,0.205583,0.000000,0.026019,56.000000
88,4.603090,0.001487,0.928387,0.037793,71.800781,1.000000,0.317600,22,0.000339,0.000815,0.078637,4.601758,0.690264,0.000000,0.020593,43.000000
89,5.820714,0.002001,0.909471,0.022563,85.046875,1.000000,0.444800,23,0.000456,0.000844,0.058855,5.818845,0.872827,0.000000,0.016077,23.000000
90,5.669209,0.000506,0.927923,0.280000,3.500000,1.000000,0.422400,25,0.000407,0.001331,0.062142,5.573670,0.836051,0.000000,0.006017,0.000000
