num_fog_nodes,scheduling_latency_ms,workload_imbalance
5,0.000035,0.000000
10,0.000038,0.000000
15,0.000040,0.000000
20,0.000040,0.000000
25,0.000037,0.000000
30,0.000042,0.000000
35,0.000036,0.000000
40,0.000037,0.000000
45,0.000036,0.000000
50,0.000037,0.000000
