variable_value,primary_metric,secondary_metric_1,secondary_metric_2
500,405.4615,,
1000,807.8578,,
1500,1219.1618,,
2000,1601.8385,,
2500,2022.4677,,
3000,2400.9492,,
3500,2837.2664,,
4000,3224.5432,,
4500,3607.1013,,
5000,3990.6239,,
