variable_value,primary_metric,secondary_metric_1,secondary_metric_2
0.020000,2.0400,1.0000,1.0000
0.040000,2.0400,1.0000,1.0000
0.060000,2.0600,1.0000,1.0000
0.080000,2.0533,1.0000,1.0000
0.100000,2.0450,1.0000,1.0000
0.120000,2.0600,1.0000,1.0000
0.140000,2.0600,1.0000,1.0000
0.160000,2.0505,1.0000,1.0000
0.180000,2.0577,1.0000,1.0000
0.200000,2.0545,1.0000,1.0000
