num_fog_nodes,scheduling_latency_ms,workload_imbalance
5.000000,0.000519,0.200000
10.000000,0.000621,0.100000
15.000000,0.000844,0.066667
20.000000,0.000832,0.050000
25.000000,0.000928,0.040000
30.000000,0.001097,0.033333
35.000000,0.001265,0.028571
40.000000,0.001407,0.025000
45.000000,0.001448,0.022222
50.000000,0.001588,0.020000
