variable_value,primary_metric,secondary_metric_1,secondary_metric_2
1,0.784952,0.108000,108.000000
2,0.713598,0.097500,195.000000
3,0.680159,0.092000,276.000000
4,0.674700,0.092750,371.000000
5,0.669154,0.092600,463.000000
6,0.664670,0.092333,554.000000
7,0.657493,0.090714,635.000000
8,0.659566,0.091000,728.000000
9,0.660617,0.091667,825.000000
10,0.659085,0.090500,905.000000
