aflto_enabled,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
0.000000,35.222964,0.039808,0.877404,0.036937,0.850000,0.974500,0.693828,1.700000,5.265498,0.000000,0.000000
1.000000,35.205686,0.026268,0.951339,0.037010,1.381055,1.000000,0.693828,3.150000,5.260997,0.000000,0.000000
