num_fog_nodes,scheduling_latency_ms,workload_imbalance
5.000000,0.000645,0.004541
10.000000,0.000781,0.006360
15.000000,0.000946,0.008584
20.000000,0.000997,0.008998
25.000000,0.001175,0.011390
30.000000,0.001209,0.011874
35.000000,0.001712,0.012957
40.000000,0.001551,0.013405
45.000000,0.001924,0.014897
50.000000,0.002057,0.015838
