variable_value,primary_metric,secondary_metric_1,secondary_metric_2
500,0.3720,,
1000,0.6106,,
1500,0.9145,,
2000,1.3102,,
2500,1.4734,,
3000,1.8165,,
3500,2.0253,,
4000,2.0195,,
4500,2.2196,,
5000,3.2769,,
