variable_value,primary_metric,secondary_metric_1,secondary_metric_2
5,0.8343,,
10,1.1753,,
15,1.5552,,
20,1.5892,,
25,1.6790,,
30,2.1035,,
35,2.0621,,
40,2.4245,,
45,2.4910,,
50,2.4304,,
