variable_value,primary_metric,secondary_metric_1,secondary_metric_2
500,1.1653,,
1000,2.2598,,
1500,3.4930,,
2000,4.5163,,
2500,5.7246,,
3000,6.3981,,
3500,6.9396,,
4000,7.5664,,
4500,8.2426,,
5000,9.1137,,
