variable_value,primary_metric,secondary_metric_1,secondary_metric_2
1,726.3386,0.0500,0
2,1452.6106,0.1000,0
3,2165.8537,0.1500,0
5,3585.7247,0.2500,0
8,5734.7971,0.4000,0
10,7218.9492,0.5000,0
15,10832.5814,0.7500,0
20,14494.6104,1.0000,0
